Name,Lat,Long
" Legacy Pregnancy Center
"," 44.7883
"," -106.945
"
" Inside Connection
"," 41.5825
"," -109.254
"
" ABBA's House Pregnancy Medical Clinic
"," 43.0304
"," -108.422
"
" Serenity Pregnancy Resource Center
"," 44.7561
"," -108.749
"
" Heart to Heart Pregnancy Center
"," 41.3065
"," -105.585
"
" Turning Point Pregnancy Resource Center
"," 43.4794
"," -110.758
"
" Women's Resource Center of Northeast Wyoming
"," 44.2878
"," -105.512
"
" Azar House Pregnancy Resource Center
"," 43.0307
"," -111.011
"
" Serenity Pregnancy Resource Center
"," 44.5247
"," -109.056
"
" LifeChoice Pregnancy Care Center
"," 41.1341
"," -104.823
"
" True Care Women's Resource Center
"," 42.8327
"," -106.338
"
" The Family Tree
"," 42.8675
"," -109.858
"
" The James Isaac House Inc. A Pregnancy Resource Center
"," 39.441
"," -78.9753
"
" A New Beginning Crisis Pregnancy Center
"," 38.4124
"," -82.4436
"
" The James Isaac House Inc. A Pregnancy Resource Center
"," 38.9916
"," -79.1225
"
" Life Choice Pregnancy & Family Resource Center
"," 39.2814
"," -80.3432
"
" Woman's Choice
"," 38.3637
"," -81.6422
"
" Birthright of Beckley
"," 37.7833
"," -81.17
"
" Birthright of Morgantown
"," 39.6305
"," -79.955
"
" Pregnancy Resource Center of Marion County
"," 39.4198
"," -80.1808
"
" The James Isaac House Inc. A Pregnancy Resource Center
"," 39.4717
"," -79.6786
"
" Women's Care Center
"," 39.2843
"," -81.5366
"
" TLC Pregnancy Center of Ritchie County
"," 39.2
"," -81.0435
"
" Abel Pregnancy Resource Center
"," 37.254
"," -81.2368
"
" Cross Roads Pregnancy Care Center
"," 38.3407
"," -81.6167
"
" Birthright of Ranson
"," 39.2968
"," -77.8608
"
" New Dawn Pregnancy Resource Center
"," 45.8899
"," -89.6736
"
" First Choice Pregnancy Resource Center
"," 44.3585
"," -89.8164
"
" Seed of Hope Center
"," 43.4204
"," -88.1991
"
" APS Medical
"," 43.0025
"," -88.0189
"
" Hope Life Center
"," 44.956
"," -89.6642
"
" Options for Pregnancy
"," 43.0124
"," -88.2294
"
" Life's Connection
"," 43.0104
"," -88.2365
"
" Alpha Life Resource Center
"," 43.1938
"," -88.7216
"
" Door of Hope
"," 43.5582
"," -90.8862
"
" Lake Superior LifeCare Center
"," 46.7209
"," -92.1053
"
" First Choice Pregnancy Resource Center
"," 44.5342
"," -89.5744
"
" Anchor of Hope Health Center
"," 43.7522
"," -87.7143
"
" Options for Women
"," 44.86
"," -92.6248
"
" Pregnance Help Center of Rice Lake
"," 45.5042
"," -91.7338
"
" Choices of Life Center
"," 42.725
"," -87.7879
"
" CareNet Family Resource Center
"," 42.7246
"," -87.7852
"
" Pregnancy Resource Center
"," 43.5384
"," -89.4563
"
" Clarity Clinic of SW Wisconsin
"," 42.7323
"," -90.476
"
" Bella Medical Clinic
"," 43.9978
"," -88.5732
"
" Life's Connection
"," 42.8615
"," -88.3315
"
" APS Medical
"," 43.0187
"," -87.9209
"
" Eyewitness For Life
"," 43.0754
"," -88.0254
"
" Women's Care Center
"," 43.0489
"," -87.8964
"
" Milwaukee Birthright
"," 42.9872
"," -87.9397
"
" Women's Care Center
"," 43.0125
"," -87.9197
"
" Alpha Women's Center
"," 43.0615
"," -87.9744
"
" APS Medical
"," 43.0999
"," -87.9664
"
" CareNet Pregnancy Center of Milwaukee
"," 43.0715
"," -87.8881
"
" Women's Support Centers of Milwaukee Inc.
"," 43.0383
"," -87.9394
"
" Abiding Care Pregnancy Resource Center
"," 45.1371
"," -90.3456
"
" Birthright of Marshfield
"," 44.6681
"," -90.1723
"
" Bay Area Pregnancy Services Inc.
"," 45.0998
"," -87.6397
"
" The Crossing Medical Clinic of Manitowoc County
"," 44.0985
"," -87.6531
"
" Access Women's Center
"," 43.1015
"," -89.3464
"
" Pregnancy Counseling of Wisconsin
"," 43.0594
"," -89.401
"
" First Care Clinic
"," 43.1145
"," -89.3208
"
" Women's Care Center
"," 43.1229
"," -89.3236
"
" Choices Health Network
"," 45.4559
"," -91.1155
"
" Agape Pregnancy Resource Center
"," 43.8527
"," -91.2458
"
" Birthright of La Crosse
"," 43.8114
"," -91.2497
"
" CareNet Family Resource Center
"," 42.5792
"," -87.8353
"
" Choices of Life Pregnancy Help Center
"," 42.5734
"," -87.8454
"
" Pregnancy Helpline
"," 42.681
"," -89.0261
"
" Northwoods New Life Resource Center
"," 46.013
"," -91.4846
"
" A&A Alexandrina Center Ltd.
"," 44.5106
"," -88.005
"
" Charis Pregnancy Help Center
"," 43.7804
"," -88.4467
"
" Pregnancy Helpline of Walworth County
"," 42.671
"," -88.5436
"
" Apple Pregnancy Care Center
"," 44.7917
"," -91.5095
"
" Pregnancy Helpline of Boscobel
"," 43.0359
"," -91.1455
"
" Pregnancy Helpline of Boscobel Wisconsin Inc.
"," 43.1664
"," -91.0176
"
" Life Choices Inc.
"," 42.6788
"," -88.2755
"
" Willow Womens Clinic
"," 42.5436
"," -89.0122
"
" Stateline Pregnancy Clinic
"," 43.2932
"," -89.7265
"
" Pregnancy Support Center
"," 43.4687
"," -88.8304
"
" Assurance Women's Center
"," 44.2728
"," -88.4126
"
" WomanKind Medical Clinic
"," 44.2731
"," -88.4134
"
" Hope Life Center
"," 45.1433
"," -89.1621
"
" Possibilities Women's Center
"," 46.5991
"," -122.438
"
" Pregnancy Aid of Snohomish County
"," 47.977
"," -122.21
"
" Birthright of Yakima
"," 46.5934
"," -120.522
"
" Birthright
"," 46.0606
"," -118.345
"
" Birthright
"," 45.6343
"," -122.67
"
" Birthright of Sunnyside
"," 46.3241
"," -120.011
"
" Birthright of Longview
"," 46.1317
"," -122.954
"
" Options 360
"," 45.7814
"," -122.555
"
" N.E.W. Family Life Services
"," 48.5487
"," -117.906
"
" Heart and Hands Pregnancy Care Center
"," 46.975
"," -123.863
"
" Celebrate Life
"," 47.5396
"," -122.641
"
" Pathways Pregnancy Clinic
"," 45.579
"," -122.339
"
" My Choices Pregnancy Medical Resources
"," 48.1071
"," -123.425
"
" Life Choices of Wenatchee Valley
"," 47.4203
"," -120.316
"
" Caring Pregnancy Center
"," 46.1317
"," -122.933
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.242
"," -122.477
"
" Life Choices Pregnancy Medical Center
"," 46.5939
"," -120.522
"
" MyChoice
"," 47.6824
"," -117.437
"
" Path of Life
"," 47.6752
"," -117.409
"
" Care Net Pregnancy Center of Mason County
"," 47.2244
"," -123.121
"
" Care Net Pregnancy and Family Services of Puget Sound
"," 47.097
"," -122.282
"
" Care Net Pregnancy Center of Okanogan County
"," 48.3989
"," -119.541
"
" Care Net Pregnancy Center of Okanogan County
"," 48.4106
"," -119.529
"
" Care Net Pregnancy Center of Thurston County
"," 47.0489
"," -122.845
"
" Pregnancy Care Clinic
"," 48.2928
"," -122.643
"
" Pregnancy Choices
"," 48.4219
"," -122.343
"
